state,county,population,date,type,value,lat,long
CA,Santa Cruz,274255,2020-03-22,cases,15,37.05580291,-122.0066524
CA,Santa Cruz,274255,2020-03-22,deaths,0,37.05580291,-122.0066524
CA,Solano,446610,2020-03-22,cases,13,38.26827353,-121.9357113
CA,Solano,446610,2020-03-22,deaths,0,38.26827353,-121.9357113
CA,Santa Barbara,446527,2020-03-22,cases,13,34.65329488,-120.0188492
CA,Santa Barbara,446527,2020-03-22,deaths,0,34.65329488,-120.0188492
CA,Placer,393149,2020-03-22,cases,12,39.06167234,-120.7240569
CA,Placer,393149,2020-03-22,deaths,1,39.06167234,-120.7240569
CA,Tulare,465861,2020-03-22,cases,12,36.22026558,-118.8020203
CA,Tulare,465861,2020-03-22,deaths,0,36.22026558,-118.8020203
CA,Monterey,435594,2020-03-22,cases,11,36.21862405,-121.2413397
CA,Monterey,435594,2020-03-22,deaths,1,36.21862405,-121.2413397
CA,Yolo,220408,2020-03-22,cases,6,38.68278902,-121.9018288
CA,Yolo,220408,2020-03-22,deaths,0,38.68278902,-121.9018288
CA,Fresno,994400,2020-03-22,cases,6,36.75733899,-119.6466953
CA,Fresno,994400,2020-03-22,deaths,0,36.75733899,-119.6466953
CA,Imperial,181827,2020-03-22,cases,6,33.0393082,-115.3669042
CA,Imperial,181827,2020-03-22,deaths,0,33.0393082,-115.3669042
CA,San Benito,61537,2020-03-22,cases,5,36.60308176,-121.069975
CA,San Benito,61537,2020-03-22,deaths,1,36.60308176,-121.069975
CA,Stanislaus,549815,2020-03-22,cases,5,37.55862499,-120.9970722
CA,Stanislaus,549815,2020-03-22,deaths,0,37.55862499,-120.9970722
CA,Kern,896764,2020-03-22,cases,5,35.34329425,-118.7277796
CA,Kern,896764,2020-03-22,deaths,0,35.34329425,-118.7277796
CA,Madera,157672,2020-03-22,cases,3,37.21513971,-119.7665589
CA,Madera,157672,2020-03-22,deaths,0,37.21513971,-119.7665589
CA,Humboldt,136373,2020-03-22,cases,2,40.69923009,-123.876044
CA,Humboldt,136373,2020-03-22,deaths,0,40.69923009,-123.876044
CA,Calaveras,45602,2020-03-22,cases,2,38.20537103,-120.552913
CA,Calaveras,45602,2020-03-22,deaths,0,38.20537103,-120.552913
CA,Siskiyou,43724,2020-03-22,cases,2,41.59198861,-122.5407434
CA,Siskiyou,43724,2020-03-22,deaths,0,41.59198861,-122.5407434
CA,Yuba,78041,2020-03-22,cases,2,39.26255932,-121.3535644
CA,Yuba,78041,2020-03-22,deaths,0,39.26255932,-121.3535644
CA,Shasta,180040,2020-03-22,cases,1,40.76391419,-122.0396884
CA,Shasta,180040,2020-03-22,deaths,0,40.76391419,-122.0396884
CA,Nevada,99696,2020-03-22,cases,1,39.30394768,-120.7627281
CA,Nevada,99696,2020-03-22,deaths,0,39.30394768,-120.7627281
CA,Mendocino,87606,2020-03-22,cases,1,39.4381191,-123.3911313
CA,Mendocino,87606,2020-03-22,deaths,0,39.4381191,-123.3911313
CA,Amador,39383,2020-03-22,cases,1,38.44583082,-120.65696
CA,Amador,39383,2020-03-22,deaths,0,38.44583082,-120.65696
CA,Mono,14250,2020-03-22,cases,1,37.93899289,-118.8872409
CA,Mono,14250,2020-03-22,deaths,0,37.93899289,-118.8872409
CA,Butte,231256,2020-03-22,cases,1,39.66727762,-121.6005252
CA,Butte,231256,2020-03-22,deaths,0,39.66727762,-121.6005252
CA,Napa,139417,2020-03-22,cases,1,38.50735751,-122.332839
